chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedConfidence,binnedConfidence
Ethereum,lido,STETH,10660039514,5.6,,5.6,,747c1d2a-c668-4682-b9f9-296708a3dd90,-0.8,-0.6,0.6,false,no,single,,4.67141,0.05255,322,false,,,,5.23903,,,,Down,56.99999999999999,1
Ethereum,makerdao,USDC,3210002085,,,0,,051c1a54-df05-4bc4-9d73-c17508acae23,0,0,0,true,no,single,PSM-USDC-A,0,0,139,false,,,,0,,,,,,
Tron,justlend,BTC,3128404813,0.00007,0.02333,0.02341,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,71418c17-d2aa-4eff-b68a-806fff9ec951,-0.0005,-0.00737,-0.00324,false,no,single,,0.03892,0.00073,257,false,TN3W4H6rK2ce4vX9YnFQHwKENnHjoxb3m9,,,0.02806,,,,Stable/Up,74,2
Ethereum,coinbase-wrapped-staked-eth,CBETH,2092931747,3.78468,,3.78468,,0f45d730-b279-4629-8e11-ccb5cc3038b4,-0.16152,-1.3867,-0.5758,false,no,single,,4.4761,0.0612,63,false,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,4.66667,,,,Stable/Up,64,2
Ethereum,aave-v2,STETH,1698213624,0,,0,,0e458a5b-fd99-4667-8706-dd938934cb0c,0,0,0,false,no,single,,0,0,236,false,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,,,0,,,,,,
Ethereum,curve,ETH-STETH,1535433048,2.50515,1.75232,4.25747,"0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,0xD533a949740bb3306d119CC777fa900bA034cd52",57d30b9c-fc66-4ac2-b666-69ad5f410cce,-0.91691,-3.87339,-1.02735,false,no,multi,,6.42286,1.22245,403,true,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84",,,5.11577,,,,Stable/Up,55.00000000000001,1
Ethereum,makerdao,WETH,1285062305,,,0,,51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,0,0,0,false,no,single,ETH-C,0,0,145,false,,,,0,,,,,,
Ethereum,makerdao,WETH,1000272835,,,0,,54600482-cfb9-4dd9-a73b-342cffd4644a,0,0,0,false,no,single,ETH-A,0,0,145,false,,,,0,,,,,,
Ethereum,convex-finance,ETH-STETH,912019189,2.50515,1.71433,4.21948,"0xd533a949740bb3306d119cc777fa900ba034cd52,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32",5ce23e7e-3800-4c9c-ad30-6db3db0515a1,-0.93128,-4.87558,-1.15318,false,no,multi,,6.34454,0.08046,403,false,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84",,,5.35243,,,,Stable/Up,73,2
Ethereum,rocket-pool,RETH,792346845,4.92037,,4.92037,,d4b3c522-6127-4b89-bedf-83641cdcd2eb,-1.02936,-0.66814,0.37148,false,no,single,,4.64875,0.02406,63,false,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,4.75494,,,,Stable/Up,52,1
